Agent,Year,Delta_DPI,Delta_Consumption,MPC
0,2003,4460.523593197875,-5578.430987147505,-1.2506224595817397
0,2004,3860.2731988402666,11421.616274464439,2.958758534990687
0,2005,2962.409477189707,-1211.5794339862186,-0.40898445785948023
0,2009,3930.6490829651448,3737.8394446316524,0.9509471249496423
0,2010,2855.649430227262,5559.709966322422,1.9469161401509854
0,2015,1440.68814140209,3250.960534797341,2.2565331395269754
0,2016,1540.6446400496789,263.14975357759977,0.1708049648419342
0,2019,4838.241463558064,16647.90751146688,3.44090050834791
0,2020,2163.2635025234777,-3630.4380682918854,-1.6782227703915533
1,2003,4489.339927342837,42091.75883808406,9.375934885598527
1,2004,3962.236803206353,-17200.643712779376,-4.34114480458617
1,2005,3058.422033572584,15105.72053296605,4.939056927771624
1,2009,3764.197701110752,-3522.766749241244,-0.9358612455986927
1,2010,2748.2612134606316,13060.162975222745,4.752154893885537
1,2011,1162.4302454592544,-3086.958677708608,-2.6556076717437858
1,2015,1433.0081342859921,-5485.839285021531,-3.8281982870633846
1,2016,1555.027945085385,4020.9343763550132,2.5857634192768337
1,2019,4673.716073392396,3881.565687763563,0.8305095189374964
1,2020,2141.989750724548,-5137.726002567957,-2.3985763707926586
2,2003,4590.857984484261,49704.277572326995,10.826794847567212
2,2004,4133.0564587665285,-20759.281169842187,-5.02274318702087
2,2005,3013.2492163256393,13036.52033720605,4.326399644136572
2,2009,3927.5560331212037,2672.232015034024,0.680380366950594
2,2010,2900.1658282756107,2752.5841561920824,0.9491126780942462
2,2011,1115.505465974231,-2957.565824074889,-2.651323471097372
2,2015,1409.8861845095525,3159.6531570502266,2.2410696634702845
2,2016,1693.1658335336542,-9160.50494440095,-5.410282184399435
2,2019,4868.901594393057,20446.690304294927,4.199446201139284
2,2020,2293.258616673251,6862.4488169539545,2.9924443615125567
3,2003,4670.185568950881,4671.495697678547,1.0002805303361768
3,2004,4218.274624133934,11429.234452432516,2.7094571764110986
3,2005,3175.1547021062725,23339.684899761196,7.35072369364509
3,2009,3870.553784818723,10837.748189150865,2.8000510499709925
3,2010,2932.260544865232,-8577.149609278524,-2.925098052524092
3,2011,1058.0310788550123,15052.491393435805,14.226889638937088
3,2015,1497.8288029791875,-160.10995459112746,-0.10689469602445094
3,2016,1419.6281756943645,1647.9918166702264,1.1608615867772316
3,2019,4698.364784185178,956.8505380235874,0.20365607652355391
3,2020,2290.1692052113212,-7412.054433143872,-3.2364658542598552
4,2003,4808.781852888365,9424.52368155605,1.9598567724371332
4,2004,4113.362508912163,-6256.241923951529,-1.520955644049491
4,2005,3140.938867368168,-2537.7697332829557,-0.8079653378957308
4,2009,3718.5101340882247,811.9473707341385,0.21835287291296498
4,2010,2821.5315260303323,10030.969993462335,3.5551507757119065
4,2011,1183.309299729939,-8779.906091485638,-7.419789647127284
4,2015,1262.0506113407464,1625.5171501240548,1.2879968010135328
4,2016,1630.3994012938056,4342.7305097030185,2.663599180824551
4,2019,4751.54310668938,9043.898464218393,1.90336028973116
4,2020,2212.1151177466236,-1425.7909106602892,-0.6445373928426811
5,2003,4819.67349682092,-14595.645833457194,-3.028347427078733
5,2004,4185.672493022837,36671.09485246531,8.761099898186712
5,2005,3129.246279407511,-16379.731924401989,-5.2344016615730595
5,2009,3575.3347775243456,-9051.757833230178,-2.5317231522296355
5,2010,2870.5618435564247,26968.000094041287,9.394676569876587
5,2011,1225.559068471557,-9765.215912509448,-7.967968385798028
5,2015,1543.833093328547,1203.1352939210192,0.7793169476157724
5,2016,1886.848607245338,530.6218225962657,0.28122119631576326
5,2019,4633.423900256035,10292.86501304635,2.221438235443466
5,2020,2422.4236545955646,-3193.4073694653634,-1.3182695617288787
6,2003,4694.84240610736,46281.27502583374,9.857897459055923
6,2004,4307.338554623377,-35225.494600994,-8.178018550035716
6,2005,3509.8367896679265,44301.31644989288,12.622044586319447
6,2009,3933.8446186968795,3777.6765805335453,0.9603014218149099
6,2010,2618.277095014171,2551.857575928516,0.9746323568226853
6,2011,1326.9933412785758,1795.5412065672717,1.3530898390471529
6,2014,1064.848796857652,-1350.5092714874045,-1.2682638844808118
6,2015,1369.6438106524438,-3466.4393275479088,-2.5309057001445034
6,2016,1397.11455873659,3754.125890128853,2.6870565957910473
6,2019,4648.468728189502,18843.083555567733,4.053610910900284
6,2020,2387.58588969594,-9824.695370243935,-4.114907619719228
7,2003,4791.912624394856,13823.585178127207,2.8847740477890937
7,2004,4320.198995043174,-8663.971052037872,-2.0054564759582996
7,2005,3596.485173792302,28802.03348895347,8.00838376836217
7,2009,3106.6433039621625,-3325.692021489769,-1.070509774085823
7,2010,2999.5830538684095,13852.769016229868,4.618231523332771
7,2011,1547.2705444374005,-2474.2708340321988,-1.5991197162819788
7,2015,2301.7574543183437,-10531.035868163453,-4.5752152766600584
7,2019,4732.748349955989,-2806.2427795665135,-0.5929414733391877
7,2020,2277.2120209100394,9276.71633457391,4.073716566306667
8,2003,5339.345093526354,36782.3948377936,6.888933791222846
