year,inflation_rate,lower_bound,upper_bound,violation
2002,-0.047288323685934566,-0.00356,0.04698,low
2003,0.09255815017745735,-0.00356,0.04698,high
2004,0.0877622071507991,-0.00356,0.04698,high
2005,0.08716221192574854,-0.00356,0.04698,high
2006,0.05545551084955135,-0.00356,0.04698,high
2007,0.005708260670373761,-0.00356,0.04698,
2008,-0.11227034538925178,-0.00356,0.04698,low
2009,-0.0260423459896414,-0.00356,0.04698,low
2010,0.028388823668058175,-0.00356,0.04698,
2011,0.026758382080181848,-0.00356,0.04698,
2012,0.013564980034652873,-0.00356,0.04698,
2013,-0.014454412425652402,-0.00356,0.04698,low
2014,-0.018919519915681637,-0.00356,0.04698,low
2015,0.013762056361965262,-0.00356,0.04698,
2016,0.012912751253467534,-0.00356,0.04698,
2017,-0.00831316930020439,-0.00356,0.04698,low
2018,-0.0672871907133179,-0.00356,0.04698,low
2019,0.013936117508190125,-0.00356,0.04698,
2020,0.027100637661443282,-0.00356,0.04698,
