month,unemployment_rate,violation
1,0.0,low
2,0.07,
3,0.09,
4,0.06,
5,0.07,
6,0.1,
7,0.12,
8,0.18,high
9,0.13,
10,0.17,high
11,0.13,
12,0.15,high
13,0.14,
14,0.16,high
15,0.1,
16,0.06,
17,0.02,low
18,0.04,
19,0.02,low
20,0.08,
21,0.02,low
22,0.06,
23,0.06,
24,0.03,low
25,0.04,
26,0.04,
27,0.03,low
28,0.05,
29,0.06,
30,0.04,
31,0.04,
32,0.02,low
33,0.03,low
34,0.02,low
35,0.05,
36,0.03,low
37,0.02,low
38,0.02,low
39,0.05,
40,0.05,
41,0.04,
42,0.03,low
43,0.01,low
44,0.02,low
45,0.08,
46,0.05,
47,0.03,low
48,0.05,
49,0.04,
50,0.06,
51,0.03,low
52,0.01,low
53,0.03,low
54,0.01,low
55,0.0,low
56,0.02,low
57,0.05,
58,0.03,low
59,0.06,
60,0.06,
61,0.03,low
62,0.02,low
63,0.03,low
64,0.04,
65,0.04,
66,0.11,
67,0.03,low
68,0.08,
69,0.06,
70,0.07,
71,0.02,low
72,0.04,
73,0.06,
74,0.02,low
75,0.1,
76,0.05,
77,0.04,
78,0.04,
79,0.03,low
80,0.18,high
81,0.02,low
82,0.04,
83,0.13,
84,0.07,
85,0.12,
86,0.15,high
87,0.16,high
88,0.16,high
89,0.17,high
90,0.2,high
91,0.15,high
92,0.16,high
93,0.13,
94,0.16,high
95,0.14,
96,0.14,
97,0.15,high
98,0.06,
99,0.05,
100,0.09,
101,0.12,
102,0.07,
103,0.05,
104,0.04,
105,0.08,
106,0.04,
107,0.09,
108,0.04,
109,0.04,
110,0.07,
111,0.03,low
112,0.04,
113,0.03,low
114,0.01,low
115,0.05,
116,0.03,low
117,0.05,
118,0.04,
119,0.07,
120,0.02,low
121,0.02,low
122,0.03,low
123,0.05,
124,0.06,
125,0.04,
126,0.05,
127,0.01,low
128,0.13,
129,0.03,low
130,0.03,low
131,0.01,low
132,0.03,low
133,0.01,low
134,0.04,
135,0.12,
136,0.04,
137,0.02,low
138,0.02,low
139,0.03,low
140,0.05,
141,0.04,
142,0.02,low
143,0.06,
144,0.02,low
145,0.04,
146,0.08,
147,0.06,
148,0.12,
149,0.07,
150,0.11,
151,0.19,high
152,0.12,
153,0.09,
154,0.14,
155,0.19,high
156,0.06,
157,0.07,
158,0.06,
159,0.11,
160,0.11,
161,0.12,
162,0.05,
163,0.06,
164,0.1,
165,0.11,
166,0.06,
167,0.08,
168,0.02,low
169,0.11,
170,0.04,
171,0.06,
172,0.01,low
173,0.02,low
174,0.02,low
175,0.11,
176,0.15,high
177,0.03,low
178,0.03,low
179,0.08,
180,0.03,low
181,0.12,
182,0.04,
183,0.07,
184,0.06,
185,0.09,
186,0.04,
187,0.06,
188,0.03,low
189,0.02,low
190,0.03,low
191,0.07,
192,0.06,
193,0.01,low
194,0.07,
195,0.03,low
196,0.06,
197,0.06,
198,0.09,
199,0.08,
200,0.12,
201,0.06,
202,0.1,
203,0.11,
204,0.15,high
205,0.13,
206,0.21,high
207,0.13,
208,0.17,high
209,0.14,
210,0.14,
211,0.23,high
212,0.07,
213,0.03,low
214,0.07,
215,0.05,
216,0.03,low
217,0.03,low
218,0.02,low
219,0.05,
220,0.02,low
221,0.09,
222,0.08,
223,0.06,
224,0.02,low
225,0.05,
226,0.04,
227,0.1,
228,0.07,
229,0.05,
230,0.03,low
231,0.04,
232,0.04,
233,0.03,low
234,0.02,low
235,0.06,
236,0.07,
237,0.05,
238,0.01,low
239,0.09,
240,0.06,
