month,unemployment_rate,violation
1,0.03,low
2,0.06,
3,0.07,
4,0.12,
5,0.09,
6,0.11,
7,0.14,
8,0.14,
9,0.14,
10,0.1,
11,0.14,
12,0.1,
13,0.14,
14,0.14,
15,0.12,
16,0.14,
17,0.09,
18,0.14,
19,0.14,
20,0.14,
21,0.14,
22,0.14,
23,0.12,
24,0.06,
25,0.04,
26,0.04,
27,0.04,
28,0.04,
29,0.03,low
30,0.07,
31,0.04,
32,0.04,
33,0.03,low
34,0.07,
35,0.03,low
36,0.03,low
37,0.03,low
38,0.05,
39,0.03,low
40,0.03,low
41,0.04,
42,0.03,low
43,0.04,
44,0.05,
45,0.03,low
46,0.04,
47,0.03,low
48,0.03,low
49,0.04,
50,0.03,low
51,0.04,
52,0.03,low
53,0.04,
54,0.04,
55,0.04,
56,0.03,low
57,0.04,
58,0.03,low
59,0.03,low
60,0.03,low
61,0.03,low
62,0.04,
63,0.03,low
64,0.03,low
65,0.04,
66,0.03,low
67,0.03,low
68,0.03,low
69,0.04,
70,0.03,low
71,0.03,low
72,0.07,
73,0.03,low
74,0.03,low
75,0.03,low
76,0.06,
77,0.04,
78,0.05,
79,0.03,low
80,0.08,
81,0.03,low
82,0.04,
83,0.04,
84,0.03,low
85,0.08,
86,0.05,
87,0.04,
88,0.09,
89,0.04,
90,0.04,
91,0.08,
92,0.05,
93,0.04,
94,0.09,
95,0.04,
96,0.04,
97,0.03,low
98,0.08,
99,0.1,
100,0.03,low
101,0.03,low
102,0.06,
103,0.05,
104,0.03,low
105,0.06,
106,0.03,low
107,0.04,
108,0.03,low
109,0.07,
110,0.03,low
111,0.05,
112,0.12,
113,0.04,
114,0.03,low
115,0.11,
116,0.04,
117,0.08,
118,0.06,
119,0.1,
120,0.04,
121,0.03,low
122,0.03,low
123,0.07,
124,0.1,
125,0.14,
126,0.1,
127,0.14,
128,0.08,
129,0.08,
130,0.1,
131,0.05,
132,0.07,
133,0.08,
134,0.07,
135,0.09,
136,0.14,
137,0.08,
138,0.04,
139,0.05,
140,0.07,
141,0.06,
142,0.08,
143,0.04,
144,0.12,
145,0.04,
146,0.05,
147,0.06,
148,0.04,
149,0.14,
150,0.13,
151,0.08,
152,0.04,
153,0.05,
154,0.14,
155,0.04,
156,0.04,
157,0.03,low
158,0.04,
159,0.07,
160,0.14,
161,0.06,
162,0.09,
163,0.06,
164,0.04,
165,0.13,
166,0.07,
167,0.04,
168,0.08,
169,0.03,low
170,0.06,
171,0.07,
172,0.14,
173,0.05,
174,0.04,
175,0.09,
176,0.12,
177,0.12,
178,0.13,
179,0.07,
180,0.04,
181,0.14,
182,0.06,
183,0.1,
184,0.1,
185,0.12,
186,0.13,
187,0.08,
188,0.05,
189,0.08,
190,0.08,
191,0.11,
192,0.14,
193,0.05,
194,0.11,
195,0.08,
196,0.1,
197,0.14,
198,0.14,
199,0.12,
200,0.05,
201,0.11,
202,0.1,
203,0.09,
204,0.06,
205,0.14,
206,0.03,low
207,0.09,
208,0.09,
209,0.07,
210,0.14,
211,0.14,
212,0.06,
213,0.14,
214,0.04,
215,0.08,
216,0.04,
217,0.14,
218,0.09,
219,0.14,
220,0.04,
221,0.08,
222,0.14,
223,0.03,low
224,0.1,
225,0.09,
226,0.12,
227,0.12,
228,0.07,
229,0.08,
230,0.07,
231,0.04,
232,0.06,
233,0.04,
234,0.14,
235,0.09,
236,0.14,
237,0.1,
238,0.1,
239,0.09,
240,0.05,
